Bait	Prey	#Rep	#Pep	AvgP	BFDR
A4	O95425	4	2	0.1910	0.5938
C10	O95425	4	2	0.0929	0.6427
homo+Bort	O95425	4	2	0.1986	0.5899
homo+DMSO	O95425	4	2	0.1099	0.6367
HSPB7	O95425	4	2	0.2469	0.5525
iPS_WTc11	O95425	4	2	0.1248	0.6281
K22	O95425	4	2	0.0955	0.6420
P9	O95425	4	2	0.1952	0.5914
TetOn-BAG3	O95425	4	2	0.1014	0.6398
iPS_P9	O95777	4	1	0.2500	0.5036
iPS_WTc11	O95777	4	1	0.2500	0.5036
C10	O95782	4	3	0.1401	0.6180
homo+Bort	O95782	4	3	0.0431	0.6616
HSPB7	O95782	4	3	0.3783	0.4294
iPS_C10	O95782	4	3	0.0602	0.6571
iPS_K22	O95782	4	3	0.0751	0.6516
iPS_P9	O95782	4	3	0.1365	0.6192
iPS_WTc11	O95782	4	3	0.0680	0.6540
K22	O95782	4	3	0.0507	0.6597
P9	O95782	4	3	0.2286	0.5702
TetOn-BAG3	O95782	4	3	0.0973	0.6414
A4	O95813	4	1	0.9079	0.0410
C10	O95813	4	1	0.9055	0.0420
homo+Bort	O95813	4	1	0.7244	0.1629
homo+DMSO	O95813	4	1	0.7129	0.1710
HSPB7	O95813	4	1	0.7196	0.1666
iPS_A4	O95813	4	1	0.7240	0.1635
iPS_C10	O95813	4	1	0.7403	0.1519
iPS_K22	O95813	4	1	0.7479	0.1468
iPS_P9	O95813	4	1	0.7335	0.1565
iPS_WTc11	O95813	4	1	0.7402	0.1521
K22	O95813	4	1	0.7667	0.1231
P9	O95813	4	1	0.6866	0.1926
RBM20	O95813	1	1	0.9939	0.0006
TetOn-BAG3	O95813	4	1	0.7353	0.1554
A4	O95816	4	2	0.6232	0.2430
C10	O95816	4	2	0.5000	0.3249
homo+Bort	O95816	4	2	0.6250	0.2398
homo+DMSO	O95816	4	2	0.5000	0.3249
iPS_A4	O95816	4	2	0.3749	0.4332
iPS_C10	O95816	4	2	0.3750	0.4310
iPS_K22	O95816	4	2	0.1249	0.6273
iPS_P9	O95816	4	2	0.2498	0.5450
K22	O95816	4	2	0.4853	0.3569
P9	O95816	4	2	0.4996	0.3424
TetOn-BAG3	O95816	4	2	0.5000	0.3249
A4	O95817	4	95	0.9714	0.0050
C10	O95817	4	95	0.9457	0.0168
homo+Bort	O95817	4	95	0.9168	0.0363
homo+DMSO	O95817	4	95	0.8519	0.0741
HSPB7	O95817	4	95	0.1063	0.6382
iPS_A4	O95817	4	95	0.4879	0.3548
iPS_C10	O95817	4	95	0.7150	0.1693
iPS_K22	O95817	4	95	0.5231	0.3120
iPS_P9	O95817	4	95	0.1900	0.5946
iPS_WTc11	O95817	4	95	0.0745	0.6518
K22	O95817	4	95	0.8445	0.0782
P9	O95817	4	95	0.5356	0.3033
TetOn-BAG3	O95817	4	95	0.8759	0.0589
homo+Bort	O95831	4	1	0.2500	0.5036
homo+DMSO	O95831	4	1	0.2500	0.5036
HSPB7	O95831	4	1	0.7500	0.1355
iPS_A4	O95831	4	1	0.5000	0.3249
iPS_K22	O95831	4	1	0.2500	0.5036
iPS_P9	O95831	4	1	0.5000	0.3249
iPS_WTc11	O95831	4	1	0.2500	0.5036
K22	O95831	4	1	0.5000	0.3249
TetOn-BAG3	O95831	4	1	0.5000	0.3249
homo+Bort	O95870	4	1	0.2175	0.5785
homo+DMSO	O95870	4	1	0.2181	0.5781
iPS_A4	O95870	4	1	0.2153	0.5800
iPS_C10	O95870	4	1	0.2311	0.5680
iPS_P9	O95870	4	1	0.1453	0.6159
K22	O95870	4	1	0.1990	0.5897
P9	O95870	4	1	0.2296	0.5691
A4	O95881	4	14	0.5810	0.2720
C10	O95881	4	14	0.7354	0.1549
homo+Bort	O95881	4	14	0.5331	0.3048
homo+DMSO	O95881	4	14	0.5279	0.3087
HSPB7	O95881	4	14	0.5523	0.2906
iPS_A4	O95881	4	14	0.5093	0.3195
iPS_C10	O95881	4	14	0.7575	0.1312
iPS_K22	O95881	4	14	0.7043	0.1781
iPS_P9	O95881	4	14	0.6688	0.2056
iPS_WTc11	O95881	4	14	0.6589	0.2130
K22	O95881	4	14	0.5894	0.2658
P9	O95881	4	14	0.6034	0.2554
RBM20	O95881	1	14	0.5332	0.3046
TetOn-BAG3	O95881	4	14	0.3567	0.4449
C10	O95897	4	2	0.1519	0.6132
homo+Bort	O95897	4	2	0.0865	0.6445
homo+DMSO	O95897	4	2	0.0895	0.6435
iPS_C10	O95897	4	2	0.1046	0.6386
iPS_P9	O95897	4	2	0.1189	0.6327
K22	O95897	4	2	0.1899	0.5946
P9	O95897	4	2	0.0964	0.6416
TetOn-BAG3	O95897	4	2	0.1285	0.6219
A4	O95900	4	1	0.0024	0.6686
iPS_A4	O95900	4	1	0.0278	0.6648
K22	O95900	4	1	0.0025	0.6685
iPS_A4	O96001	4	1	0.2500	0.5036
iPS_C10	O96001	4	1	0.2500	0.5036
iPS_WTc11	O96001	4	1	0.2500	0.5036
iPS_P9	O96019	4	1	0.2500	0.5036
A4	P00414	4	1	0.4999	0.3390
C10	P00414	4	1	0.2500	0.5036
homo+Bort	P00414	4	1	0.5000	0.3249
HSPB7	P00414	4	1	0.5000	0.3249
iPS_P9	P00414	4	1	0.2498	0.5450
iPS_WTc11	P00414	4	1	0.2498	0.5450
P9	P00414	4	1	0.5000	0.3249
TetOn-BAG3	P00414	4	1	0.2500	0.5036
A4	P00450	4	2	0.3839	0.4260
C10	P00450	4	2	0.2666	0.4975
homo+Bort	P00450	4	2	0.1884	0.5953
homo+DMSO	P00450	4	2	0.2567	0.5011
HSPB7	P00450	4	2	0.1065	0.6380
iPS_A4	P00450	4	2	0.3186	0.4678
iPS_C10	P00450	4	2	0.3382	0.4551
iPS_K22	P00450	4	2	0.1139	0.6352
iPS_P9	P00450	4	2	0.4030	0.4138
iPS_WTc11	P00450	4	2	0.2047	0.5864
K22	P00450	4	2	0.0912	0.6431
P9	P00450	4	2	0.0934	0.6426
TetOn-BAG3	P00450	4	2	0.1972	0.5906
A4	P00738	4	2	0.5592	0.2869
C10	P00738	4	2	0.6361	0.2299
homo+Bort	P00738	4	2	0.3140	0.4708
homo+DMSO	P00738	4	2	0.3309	0.4606
HSPB7	P00738	4	2	0.0926	0.6428
iPS_A4	P00738	4	2	0.4790	0.3610
iPS_C10	P00738	4	2	0.3784	0.4292
iPS_K22	P00738	4	2	0.2763	0.4931
iPS_P9	P00738	4	2	0.1076	0.6376
iPS_WTc11	P00738	4	2	0.1716	0.6029
K22	P00738	4	2	0.2599	0.4998
P9	P00738	4	2	0.3112	0.4727
RBM20	P00738	1	2	0.4199	0.4018
TetOn-BAG3	P00738	4	2	0.4531	0.3802
A4	P01023	4	1	0.3315	0.4602
C10	P01023	4	1	0.4857	0.3564
homo+Bort	P01023	4	1	0.2079	0.5848
homo+DMSO	P01023	4	1	0.4535	0.3799
HSPB7	P01023	4	1	0.4217	0.4007
iPS_A4	P01023	4	1	0.5369	0.3020
iPS_C10	P01023	4	1	0.7716	0.1207
iPS_K22	P01023	4	1	0.3654	0.4398
iPS_P9	P01023	4	1	0.6286	0.2365
iPS_WTc11	P01023	4	1	0.3696	0.4375
K22	P01023	4	1	0.5970	0.2598
P9	P01023	4	1	0.6086	0.2531
TetOn-BAG3	P01023	4	1	0.3670	0.4389
A4	P01024	4	4	0.6166	0.2473
C10	P01024	4	4	0.7633	0.1251
homo+Bort	P01024	4	4	0.8425	0.0792
homo+DMSO	P01024	4	4	0.8316	0.0851
HSPB7	P01024	4	4	0.6255	0.2393
iPS_A4	P01024	4	4	0.6456	0.2231
iPS_C10	P01024	4	4	0.8669	0.0638
iPS_K22	P01024	4	4	0.6407	0.2270
iPS_P9	P01024	4	4	0.8258	0.0880
iPS_WTc11	P01024	4	4	0.7604	0.1284
K22	P01024	4	4	0.7016	0.1799
P9	P01024	4	4	0.7851	0.1110
RBM20	P01024	1	4	0.8830	0.0552
TetOn-BAG3	P01024	4	4	0.6855	0.1940
homo+DMSO	P01563	4	1	0.2500	0.5036
HSPB7	P01563	4	1	0.2500	0.5036
iPS_K22	P01563	4	1	0.2500	0.5036
iPS_P9	P01563	4	1	0.5000	0.3249
iPS_WTc11	P01563	4	1	0.2500	0.5036
K22	P01563	4	1	0.2500	0.5036
P9	P01563	4	1	0.2500	0.5036
RBM20	P01563	1	1	1.0000	0.0000
TetOn-BAG3	P01563	4	1	0.2500	0.5036
A4	P01617	4	5	0.6948	0.1858
C10	P01617	4	5	0.8046	0.1007
homo+Bort	P01617	4	5	0.8425	0.0792
homo+DMSO	P01617	4	5	0.7867	0.1108
HSPB7	P01617	4	5	0.6430	0.2250
iPS_A4	P01617	4	5	0.8080	0.0979
iPS_C10	P01617	4	5	0.7647	0.1236
iPS_K22	P01617	4	5	0.6165	0.2474
iPS_P9	P01617	4	5	0.7891	0.1091
iPS_WTc11	P01617	4	5	0.7043	0.1781
K22	P01617	4	5	0.7390	0.1534
P9	P01617	4	5	0.6692	0.2051
RBM20	P01617	1	5	0.6142	0.2490
TetOn-BAG3	P01617	4	5	0.7202	0.1661
A4	P01859	4	1	0.6347	0.2313
C10	P01859	4	1	0.8157	0.0942
homo+Bort	P01859	4	1	0.8087	0.0975
homo+DMSO	P01859	4	1	0.6892	0.1905
HSPB7	P01859	4	1	0.7151	0.1691
iPS_A4	P01859	4	1	0.5665	0.2812
iPS_C10	P01859	4	1	0.7629	0.1252
iPS_K22	P01859	4	1	0.7340	0.1564
iPS_P9	P01859	4	1	0.8040	0.1011
iPS_WTc11	P01859	4	1	0.7426	0.1501
K22	P01859	4	1	0.7610	0.1277
P9	P01859	4	1	0.8350	0.0829
RBM20	P01859	1	1	0.9430	0.0193
TetOn-BAG3	P01859	4	1	0.6643	0.2094
A4	P02489	4	2	0.2500	0.5036
C10	P02489	4	2	0.2500	0.5036
homo+DMSO	P02489	4	2	0.1240	0.6296
HSPB7	P02489	4	2	0.1250	0.6232
iPS_A4	P02489	4	2	0.2500	0.5036
iPS_C10	P02489	4	2	0.2499	0.5420
iPS_K22	P02489	4	2	0.1250	0.6232
iPS_P9	P02489	4	2	0.2498	0.5450
iPS_WTc11	P02489	4	2	0.2479	0.5513
K22	P02489	4	2	0.2295	0.5692
P9	P02489	4	2	0.2500	0.5036
TetOn-BAG3	P02489	4	2	0.1247	0.6284
A4	P02511	4	7	0.5394	0.2997
C10	P02511	4	7	0.5274	0.3089
homo+Bort	P02511	4	7	0.6425	0.2253
homo+DMSO	P02511	4	7	0.2728	0.4947
HSPB7	P02511	4	7	0.5814	0.2716
iPS_C10	P02511	4	7	0.0453	0.6611
iPS_P9	P02511	4	7	0.0493	0.6604
iPS_WTc11	P02511	4	7	0.0622	0.6563
K22	P02511	4	7	0.4077	0.4116
P9	P02511	4	7	0.6009	0.2567
TetOn-BAG3	P02511	4	7	0.4662	0.3705
A4	P02745	4	1	0.4227	0.4001
C10	P02745	4	1	0.6900	0.1899
homo+Bort	P02745	4	1	0.6098	0.2520
homo+DMSO	P02745	4	1	0.5202	0.3138
HSPB7	P02745	4	1	0.5787	0.2737
iPS_A4	P02745	4	1	0.3317	0.4600
iPS_C10	P02745	4	1	0.6007	0.2568
iPS_K22	P02745	4	1	0.5921	0.2635
iPS_P9	P02745	4	1	0.5788	0.2737
iPS_WTc11	P02745	4	1	0.4421	0.3868
K22	P02745	4	1	0.6601	0.2123
P9	P02745	4	1	0.5498	0.2921
RBM20	P02745	1	1	0.8159	0.0938
TetOn-BAG3	P02745	4	1	0.3842	0.4256
A4	P02746	4	2	0.3297	0.4614
C10	P02746	4	2	0.4686	0.3688
homo+Bort	P02746	4	2	0.4346	0.3926
homo+DMSO	P02746	4	2	0.4307	0.3953
HSPB7	P02746	4	2	0.4320	0.3942
iPS_A4	P02746	4	2	0.4468	0.3843
iPS_C10	P02746	4	2	0.5182	0.3148
iPS_K22	P02746	4	2	0.4751	0.3638
iPS_P9	P02746	4	2	0.5208	0.3131
iPS_WTc11	P02746	4	2	0.5417	0.2980
K22	P02746	4	2	0.4171	0.4036
P9	P02746	4	2	0.7405	0.1518
RBM20	P02746	1	2	0.4710	0.3672
TetOn-BAG3	P02746	4	2	0.2869	0.4874
C10	P02751	4	3	0.1780	0.6006
homo+Bort	P02751	4	3	0.0754	0.6514
HSPB7	P02751	4	3	0.2252	0.5730
K22	P02751	4	3	0.0199	0.6665
P9	P02751	4	3	0.3109	0.4729
A4	P02787	4	1	0.2005	0.5887
C10	P02787	4	1	0.4356	0.3918
homo+Bort	P02787	4	1	0.5121	0.3179
homo+DMSO	P02787	4	1	0.2589	0.5002
HSPB7	P02787	4	1	0.3266	0.4630
iPS_A4	P02787	4	1	0.2439	0.5557
iPS_C10	P02787	4	1	0.2971	0.4817
iPS_K22	P02787	4	1	0.3578	0.4441
iPS_P9	P02787	4	1	0.3007	0.4791
iPS_WTc11	P02787	4	1	0.3401	0.4542
K22	P02787	4	1	0.2721	0.4950
P9	P02787	4	1	0.2149	0.5803
TetOn-BAG3	P02787	4	1	0.1722	0.6028
A4	P02790	4	3	0.1513	0.6135
C10	P02790	4	3	0.2613	0.4995
homo+Bort	P02790	4	3	0.3824	0.4269
homo+DMSO	P02790	4	3	0.2441	0.5554
HSPB7	P02790	4	3	0.2475	0.5518
iPS_A4	P02790	4	3	0.2715	0.4952
iPS_C10	P02790	4	3	0.2711	0.4954
iPS_K22	P02790	4	3	0.3722	0.4357
iPS_P9	P02790	4	3	0.2154	0.5799
iPS_WTc11	P02790	4	3	0.2904	0.4856
K22	P02790	4	3	0.1108	0.6363
P9	P02790	4	3	0.2419	0.5576
TetOn-BAG3	P02790	4	3	0.1859	0.5966
A4	P04075	4	1	0.4337	0.3932
C10	P04075	4	1	0.6716	0.2032
homo+Bort	P04075	4	1	0.1409	0.6176
homo+DMSO	P04075	4	1	0.4722	0.3662
HSPB7	P04075	4	1	0.2072	0.5850
iPS_A4	P04075	4	1	0.4718	0.3665
iPS_C10	P04075	4	1	0.7012	0.1803
iPS_K22	P04075	4	1	0.2284	0.5704
iPS_P9	P04075	4	1	0.4535	0.3799
iPS_WTc11	P04075	4	1	0.4754	0.3634
K22	P04075	4	1	0.4383	0.3895
P9	P04075	4	1	0.4104	0.4098
RBM20	P04075	1	1	0.9497	0.0135
TetOn-BAG3	P04075	4	1	0.6901	0.1898
A4	P04085	4	7	0.2532	0.5024
C10	P04085	4	7	0.1459	0.6157
homo+Bort	P04085	4	7	0.2437	0.5559
homo+DMSO	P04085	4	7	0.2506	0.5035
HSPB7	P04085	4	7	0.1372	0.6190
iPS_A4	P04085	4	7	0.2195	0.5771
iPS_C10	P04085	4	7	0.6505	0.2196
iPS_K22	P04085	4	7	0.1205	0.6318
iPS_P9	P04085	4	7	0.5846	0.2690
iPS_WTc11	P04085	4	7	0.2444	0.5550
K22	P04085	4	7	0.2500	0.5036
P9	P04085	4	7	0.0667	0.6544
TetOn-BAG3	P04085	4	7	0.1585	0.6104
iPS_A4	P04181	4	3	0.1659	0.6072
iPS_C10	P04181	4	3	0.5585	0.2873
iPS_K22	P04181	4	3	0.0833	0.6451
iPS_P9	P04181	4	3	0.3333	0.4574
iPS_WTc11	P04181	4	3	0.0832	0.6476
A4	P04406	4	2	0.0911	0.6432
C10	P04406	4	2	0.1024	0.6395
homo+Bort	P04406	4	2	0.0833	0.6451
homo+DMSO	P04406	4	2	0.1530	0.6128
HSPB7	P04406	4	2	0.2376	0.5621
iPS_A4	P04406	4	2	0.4406	0.3878
iPS_C10	P04406	4	2	0.3244	0.4645
iPS_K22	P04406	4	2	0.5306	0.3066
iPS_P9	P04406	4	2	0.4411	0.3875
iPS_WTc11	P04406	4	2	0.4437	0.3863
K22	P04406	4	2	0.1060	0.6382
P9	P04406	4	2	0.2221	0.5754
TetOn-BAG3	P04406	4	2	0.1103	0.6365
A4	P04792	4	8	0.8295	0.0862
C10	P04792	4	8	0.9117	0.0385
homo+Bort	P04792	4	8	0.9321	0.0264
homo+DMSO	P04792	4	8	0.8051	0.1001
HSPB7	P04792	4	8	0.8371	0.0814
iPS_A4	P04792	4	8	0.3647	0.4403
iPS_C10	P04792	4	8	0.3494	0.4490
iPS_K22	P04792	4	8	0.1651	0.6076
iPS_P9	P04792	4	8	0.2092	0.5840
iPS_WTc11	P04792	4	8	0.1790	0.6001
K22	P04792	4	8	0.8927	0.0493
P9	P04792	4	8	0.9415	0.0207
RBM20	P04792	1	8	0.6821	0.1966
TetOn-BAG3	P04792	4	8	0.9307	0.0280
iPS_A4	P04844	4	1	0.2500	0.5036
iPS_C10	P04844	4	1	0.2500	0.5036
A4	P05023	4	4	0.1316	0.6210
C10	P05023	4	4	0.0174	0.6669
homo+Bort	P05023	4	4	0.4123	0.4084
homo+DMSO	P05023	4	4	0.3186	0.4678
HSPB7	P05023	4	4	0.2064	0.5855
iPS_C10	P05023	4	4	0.0364	0.6632
iPS_K22	P05023	4	4	0.0529	0.6592
iPS_P9	P05023	4	4	0.0536	0.6590
K22	P05023	4	4	0.3323	0.4596
P9	P05023	4	4	0.1226	0.6306
TetOn-BAG3	P05023	4	4	0.2652	0.4982
HSPB7	P05106	4	1	0.2500	0.5036
iPS_A4	P05106	4	1	0.2493	0.5485
iPS_K22	P05106	4	1	0.2500	0.5036
iPS_P9	P05106	4	1	0.2313	0.5677
iPS_WTc11	P05106	4	1	0.2285	0.5703
K22	P05106	4	1	0.2491	0.5492
A4	P05109	4	4	0.1408	0.6177
C10	P05109	4	4	0.0892	0.6436
homo+Bort	P05109	4	4	0.1521	0.6130
homo+DMSO	P05109	4	4	0.0766	0.6510
HSPB7	P05109	4	4	0.0731	0.6522
iPS_A4	P05109	4	4	0.1357	0.6195
iPS_C10	P05109	4	4	0.1987	0.5898
iPS_K22	P05109	4	4	0.0539	0.6590
iPS_P9	P05109	4	4	0.0752	0.6515
iPS_WTc11	P05109	4	4	0.1388	0.6184
K22	P05109	4	4	0.2213	0.5759
P9	P05109	4	4	0.1516	0.6134
RBM20	P05109	1	4	0.5415	0.2982
TetOn-BAG3	P05109	4	4	0.1472	0.6152
A4	P05165	4	1	0.2500	0.5036
C10	P05165	4	1	0.2500	0.5036
homo+DMSO	P05165	4	1	0.2500	0.5036
HSPB7	P05165	4	1	0.2500	0.5036
iPS_A4	P05165	4	1	0.5000	0.3249
iPS_C10	P05165	4	1	0.5000	0.3249
iPS_K22	P05165	4	1	0.5000	0.3249
iPS_P9	P05165	4	1	0.2500	0.5036
iPS_WTc11	P05165	4	1	0.5000	0.3249
K22	P05165	4	1	0.2500	0.5036
P9	P05165	4	1	0.2500	0.5036
TetOn-BAG3	P05165	4	1	0.5000	0.3249
A4	P05204	4	5	0.3933	0.4198
C10	P05204	4	5	0.2962	0.4822
homo+Bort	P05204	4	5	0.3132	0.4713
homo+DMSO	P05204	4	5	0.4860	0.3561
HSPB7	P05204	4	5	0.4631	0.3730
iPS_A4	P05204	4	5	0.2831	0.4894
iPS_C10	P05204	4	5	0.1556	0.6116
iPS_K22	P05204	4	5	0.1527	0.6129
iPS_P9	P05204	4	5	0.2358	0.5637
iPS_WTc11	P05204	4	5	0.1589	0.6102
K22	P05204	4	5	0.2177	0.5784
P9	P05204	4	5	0.3005	0.4792
TetOn-BAG3	P05204	4	5	0.3921	0.4207
iPS_WTc11	P05387	4	2	0.3750	0.4310
K22	P05387	4	2	0.1248	0.6281
A4	P05388	4	4	0.0833	0.6451
iPS_WTc11	P05388	4	4	0.2500	0.5036
iPS_P9	P05455	4	1	0.2500	0.5036
iPS_WTc11	P05455	4	1	0.2500	0.5036
A4	P05556	4	2	0.0696	0.6535
C10	P05556	4	2	0.0648	0.6551
homo+Bort	P05556	4	2	0.1606	0.6095
homo+DMSO	P05556	4	2	0.0891	0.6437
HSPB7	P05556	4	2	0.0517	0.6595
K22	P05556	4	2	0.2611	0.4996
P9	P05556	4	2	0.1927	0.5928
TetOn-BAG3	P05556	4	2	0.0109	0.6676
A4	P05783	4	10	0.1216	0.6310
C10	P05783	4	10	0.7582	0.1305
homo+Bort	P05783	4	10	0.6847	0.1946
homo+DMSO	P05783	4	10	0.6763	0.1998
HSPB7	P05783	4	10	0.2354	0.5640
iPS_A4	P05783	4	10	0.4158	0.4057
iPS_C10	P05783	4	10	0.9507	0.0132
iPS_K22	P05783	4	10	0.4531	0.3802
iPS_P9	P05783	4	10	0.8699	0.0626
iPS_WTc11	P05783	4	10	0.6003	0.2571
K22	P05783	4	10	0.5443	0.2964
P9	P05783	4	10	0.4745	0.3643
RBM20	P05783	1	10	0.9804	0.0027
TetOn-BAG3	P05783	4	10	0.2092	0.5840
A4	P05976	4	1	0.2498	0.5450
homo+Bort	P05976	4	1	0.2500	0.5036
iPS_A4	P05976	4	1	0.2500	0.5036
iPS_C10	P05976	4	1	0.5000	0.3249
iPS_K22	P05976	4	1	0.2500	0.5036
iPS_P9	P05976	4	1	0.5000	0.3249
iPS_WTc11	P05976	4	1	0.2500	0.5036
P9	P05976	4	1	0.2500	0.5036
TetOn-BAG3	P05976	4	1	0.2500	0.5036
iPS_C10	P06454	4	1	0.2499	0.5420
iPS_WTc11	P06454	4	1	0.2500	0.5036
A4	P06576	4	15	0.3899	0.4220
C10	P06576	4	15	0.4768	0.3625
homo+Bort	P06576	4	15	0.6152	0.2481
homo+DMSO	P06576	4	15	0.5687	0.2797
HSPB7	P06576	4	15	0.4015	0.4149
iPS_A4	P06576	4	15	0.0339	0.6637
iPS_C10	P06576	4	15	0.1370	0.6191
iPS_K22	P06576	4	15	0.0642	0.6554
iPS_P9	P06576	4	15	0.0301	0.6644
iPS_WTc11	P06576	4	15	0.1998	0.5892
K22	P06576	4	15	0.4666	0.3702
P9	P06576	4	15	0.2390	0.5606
TetOn-BAG3	P06576	4	15	0.3879	0.4233
C10	P06702	4	1	0.2218	0.5757
homo+Bort	P06702	4	1	0.1324	0.6208
homo+DMSO	P06702	4	1	0.1579	0.6107
iPS_A4	P06702	4	1	0.4176	0.4033
iPS_C10	P06702	4	1	0.1821	0.5985
K22	P06702	4	1	0.1689	0.6041
P9	P06702	4	1	0.2268	0.5720
RBM20	P06702	1	1	0.9650	0.0076
TetOn-BAG3	P06702	4	1	0.1769	0.6010
iPS_WTc11	P06733	4	2	0.2500	0.5036
A4	P06748	4	10	0.4072	0.4118
C10	P06748	4	10	0.3405	0.4540
homo+Bort	P06748	4	10	0.4179	0.4031
homo+DMSO	P06748	4	10	0.3163	0.4694
HSPB7	P06748	4	10	0.2940	0.4830
iPS_A4	P06748	4	10	0.5692	0.2794
iPS_C10	P06748	4	10	0.7791	0.1154
iPS_K22	P06748	4	10	0.7706	0.1211
iPS_P9	P06748	4	10	0.8122	0.0962
iPS_WTc11	P06748	4	10	0.6740	0.2011
K22	P06748	4	10	0.3694	0.4376
P9	P06748	4	10	0.3431	0.4527
RBM20	P06748	1	10	0.3743	0.4342
TetOn-BAG3	P06748	4	10	0.4098	0.4102
C10	P07093	4	3	0.4162	0.4052
K22	P07093	4	3	0.0833	0.6451
P9	P07093	4	3	0.0833	0.6451
RBM20	P07093	1	3	0.3333	0.4574
TetOn-BAG3	P07093	4	3	0.0829	0.6481
iPS_A4	P07195	4	1	0.4986	0.3457
iPS_C10	P07195	4	1	0.2500	0.5036
iPS_WTc11	P07195	4	1	0.7237	0.1636
iPS_WTc11	P07205	4	1	0.2500	0.5036
A4	P07237	4	23	0.4901	0.3537
C10	P07237	4	23	0.7832	0.1119
homo+Bort	P07237	4	23	0.5033	0.3228
homo+DMSO	P07237	4	23	0.3882	0.4232
HSPB7	P07237	4	23	0.3611	0.4422
iPS_A4	P07237	4	23	0.0545	0.6588
iPS_C10	P07237	4	23	0.2815	0.4902
iPS_K22	P07237	4	23	0.0591	0.6575
iPS_P9	P07237	4	23	0.1772	0.6009
iPS_WTc11	P07237	4	23	0.0820	0.6487
K22	P07237	4	23	0.6106	0.2515
P9	P07237	4	23	0.6238	0.2426
RBM20	P07237	1	23	0.7991	0.1030
TetOn-BAG3	P07237	4	23	0.3536	0.4466
A4	P07305	4	4	0.5564	0.2883
C10	P07305	4	4	0.5581	0.2877
homo+Bort	P07305	4	4	0.7224	0.1641
homo+DMSO	P07305	4	4	0.6480	0.2218
HSPB7	P07305	4	4	0.6278	0.2373
iPS_A4	P07305	4	4	0.1150	0.6346
iPS_C10	P07305	4	4	0.1190	0.6326
iPS_K22	P07305	4	4	0.0556	0.6585
iPS_P9	P07305	4	4	0.0998	0.6404
iPS_WTc11	P07305	4	4	0.0766	0.6510
K22	P07305	4	4	0.3766	0.4302
P9	P07305	4	4	0.5857	0.2684
RBM20	P07305	1	4	0.5339	0.3041
TetOn-BAG3	P07305	4	4	0.3805	0.4282
A4	P07355	4	9	0.3456	0.4511
C10	P07355	4	9	0.6808	0.1972
homo+Bort	P07355	4	9	0.2795	0.4913
homo+DMSO	P07355	4	9	0.2399	0.5596
HSPB7	P07355	4	9	0.2317	0.5675
iPS_A4	P07355	4	9	0.0745	0.6518
iPS_C10	P07355	4	9	0.0953	0.6420
iPS_K22	P07355	4	9	0.0293	0.6646
iPS_P9	P07355	4	9	0.0451	0.6612
iPS_WTc11	P07355	4	9	0.0560	0.6584
K22	P07355	4	9	0.5362	0.3026
P9	P07355	4	9	0.4883	0.3546
RBM20	P07355	1	9	0.9443	0.0184
TetOn-BAG3	P07355	4	9	0.2321	0.5670
A4	P07437	4	8	0.3357	0.4564
C10	P07437	4	8	0.2516	0.5032
homo+Bort	P07437	4	8	0.3840	0.4258
homo+DMSO	P07437	4	8	0.2877	0.4868
HSPB7	P07437	4	8	0.4332	0.3933
iPS_A4	P07437	4	8	0.6449	0.2234
iPS_C10	P07437	4	8	0.7094	0.1731
iPS_K22	P07437	4	8	0.7104	0.1723
iPS_P9	P07437	4	8	0.6117	0.2504
iPS_WTc11	P07437	4	8	0.6982	0.1828
K22	P07437	4	8	0.3624	0.4416
P9	P07437	4	8	0.5024	0.3234
TetOn-BAG3	P07437	4	8	0.5381	0.3009
iPS_WTc11	P07737	4	1	0.2500	0.5036
A4	P07900	4	17	0.2389	0.5607
C10	P07900	4	17	0.4019	0.4145
homo+Bort	P07900	4	17	0.5318	0.3060
homo+DMSO	P07900	4	17	0.2294	0.5694
HSPB7	P07900	4	17	0.4666	0.3702
iPS_A4	P07900	4	17	0.4860	0.3561
iPS_C10	P07900	4	17	0.8359	0.0825
iPS_K22	P07900	4	17	0.6190	0.2457
iPS_P9	P07900	4	17	0.8916	0.0496
iPS_WTc11	P07900	4	17	0.6252	0.2397
K22	P07900	4	17	0.2787	0.4918
P9	P07900	4	17	0.4210	0.4012
RBM20	P07900	1	17	0.2125	0.5820
TetOn-BAG3	P07900	4	17	0.2825	0.4897
A4	P07910	4	6	0.3804	0.4282
C10	P07910	4	6	0.3908	0.4214
homo+Bort	P07910	4	6	0.5310	0.3064
homo+DMSO	P07910	4	6	0.4979	0.3468
HSPB7	P07910	4	6	0.4678	0.3694
iPS_A4	P07910	4	6	0.4673	0.3697
iPS_C10	P07910	4	6	0.4170	0.4037
iPS_K22	P07910	4	6	0.5715	0.2778
iPS_P9	P07910	4	6	0.4719	0.3665
iPS_WTc11	P07910	4	6	0.5679	0.2804
K22	P07910	4	6	0.3391	0.4548
P9	P07910	4	6	0.4296	0.3960
RBM20	P07910	1	6	0.5890	0.2663
TetOn-BAG3	P07910	4	6	0.4264	0.3978
C10	P07996	4	3	0.2500	0.5036
homo+Bort	P07996	4	3	0.1657	0.6073
HSPB7	P07996	4	3	0.1667	0.6049
K22	P07996	4	3	0.0831	0.6479
P9	P07996	4	3	0.0832	0.6476
RBM20	P07996	1	3	0.3333	0.4574
A4	P08069	4	1	0.4224	0.4003
C10	P08069	4	1	0.6495	0.2206
